"city_name","month","monthly_sales","prev_month_sales","growth_percent"
"Chennai","2023-09-01 00:00:00+05:45","76500","27850","174.69"
"Chennai","2023-10-01 00:00:00+05:45","124650","76500","62.94"
"Chennai","2023-11-01 00:00:00+05:45","105700","124650","-15.20"
"Chennai","2023-12-01 00:00:00+05:45","72150","105700","-31.74"
"Chennai","2024-01-01 00:00:00+05:45","50100","72150","-30.56"
"Chennai","2024-02-01 00:00:00+05:45","63500","50100","26.75"
"Chennai","2024-03-01 00:00:00+05:45","75950","63500","19.61"
"Chennai","2024-04-01 00:00:00+05:45","16500","75950","-78.28"
"Chennai","2024-05-01 00:00:00+05:45","16000","16500","-3.03"
"Chennai","2024-06-01 00:00:00+05:45","11500","16000","-28.13"
"Chennai","2024-07-01 00:00:00+05:45","18500","11500","60.87"
"Chennai","2024-08-01 00:00:00+05:45","20400","18500","10.27"
"Chennai","2024-09-01 00:00:00+05:45","23000","20400","12.75"
"Chennai","2024-10-01 00:00:00+05:45","350","23000","-98.48"
"Delhi","2023-01-01 00:00:00+05:45","15680",NULL,NULL
"Delhi","2023-02-01 00:00:00+05:45","16120","15680","2.81"
"Delhi","2023-03-01 00:00:00+05:45","25000","16120","55.09"
"Delhi","2023-04-01 00:00:00+05:45","23230","25000","-7.08"
"Delhi","2023-05-01 00:00:00+05:45","17190","23230","-26.00"
"Delhi","2023-06-01 00:00:00+05:45","20790","17190","20.94"
"Delhi","2023-07-01 00:00:00+05:45","22790","20790","9.62"
"Delhi","2023-08-01 00:00:00+05:45","17100","22790","-24.97"
"Delhi","2023-09-01 00:00:00+05:45","56200","17100","228.65"
"Delhi","2023-10-01 00:00:00+05:45","85150","56200","51.51"
"Delhi","2023-11-01 00:00:00+05:45","67650","85150","-20.55"
"Delhi","2023-12-01 00:00:00+05:45","85690","67650","26.67"
"Delhi","2024-01-01 00:00:00+05:45","49880","85690","-41.79"
"Delhi","2024-02-01 00:00:00+05:45","60400","49880","21.09"
"Delhi","2024-03-01 00:00:00+05:45","77800","60400","28.81"
"Delhi","2024-04-01 00:00:00+05:45","18150","77800","-76.67"
"Delhi","2024-05-01 00:00:00+05:45","27450","18150","51.24"
"Delhi","2024-06-01 00:00:00+05:45","13200","27450","-51.91"
"Delhi","2024-07-01 00:00:00+05:45","13150","13200","-0.38"
"Delhi","2024-08-01 00:00:00+05:45","19450","13150","47.91"
"Delhi","2024-09-01 00:00:00+05:45","17450","19450","-10.28"
"Delhi","2024-10-01 00:00:00+05:45","900","17450","-94.84"
"Hyderabad","2023-01-01 00:00:00+05:45","2170",NULL,NULL
"Hyderabad","2023-02-01 00:00:00+05:45","4150","2170","91.24"
"Hyderabad","2023-03-01 00:00:00+05:45","3200","4150","-22.89"
"Hyderabad","2023-04-01 00:00:00+05:45","3050","3200","-4.69"
"Hyderabad","2023-05-01 00:00:00+05:45","5900","3050","93.44"
"Hyderabad","2023-06-01 00:00:00+05:45","4220","5900","-28.47"
"Hyderabad","2023-07-01 00:00:00+05:45","5670","4220","34.36"
"Hyderabad","2023-08-01 00:00:00+05:45","3500","5670","-38.27"
"Hyderabad","2023-09-01 00:00:00+05:45","7450","3500","112.86"
"Hyderabad","2023-10-01 00:00:00+05:45","9500","7450","27.52"
"Hyderabad","2023-11-01 00:00:00+05:45","19350","9500","103.68"
"Hyderabad","2023-12-01 00:00:00+05:45","16210","19350","-16.23"
"Hyderabad","2024-01-01 00:00:00+05:45","9100","16210","-43.86"
"Hyderabad","2024-02-01 00:00:00+05:45","9850","9100","8.24"
"Hyderabad","2024-03-01 00:00:00+05:45","12500","9850","26.90"
"Hyderabad","2024-04-01 00:00:00+05:45","3550","12500","-71.60"
"Hyderabad","2024-05-01 00:00:00+05:45","3700","3550","4.23"
"Hyderabad","2024-06-01 00:00:00+05:45","2750","3700","-25.68"
"Hyderabad","2024-07-01 00:00:00+05:45","1200","2750","-56.36"
"Hyderabad","2024-08-01 00:00:00+05:45","2150","1200","79.17"
"Hyderabad","2024-09-01 00:00:00+05:45","2350","2150","9.30"
"Indore","2023-01-01 00:00:00+05:45","2950",NULL,NULL
"Indore","2023-02-01 00:00:00+05:45","6570","2950","122.71"
"Indore","2023-03-01 00:00:00+05:45","6000","6570","-8.68"
"Indore","2023-04-01 00:00:00+05:45","5720","6000","-4.67"
"Indore","2023-05-01 00:00:00+05:45","1750","5720","-69.41"
"Indore","2023-06-01 00:00:00+05:45","6550","1750","274.29"
"Indore","2023-07-01 00:00:00+05:45","5650","6550","-13.74"
"Indore","2023-08-01 00:00:00+05:45","3000","5650","-46.90"
"Indore","2023-09-01 00:00:00+05:45","6400","3000","113.33"
"Indore","2023-10-01 00:00:00+05:45","11300","6400","76.56"
"Indore","2023-11-01 00:00:00+05:45","18850","11300","66.81"
"Indore","2023-12-01 00:00:00+05:45","15520","18850","-17.67"
"Indore","2024-01-01 00:00:00+05:45","11130","15520","-28.29"
"Indore","2024-02-01 00:00:00+05:45","9900","11130","-11.05"
"Indore","2024-03-01 00:00:00+05:45","12050","9900","21.72"
"Indore","2024-04-01 00:00:00+05:45","2350","12050","-80.50"
"Indore","2024-05-01 00:00:00+05:45","5300","2350","125.53"
"Indore","2024-06-01 00:00:00+05:45","2900","5300","-45.28"
"Indore","2024-07-01 00:00:00+05:45","2100","2900","-27.59"
"Indore","2024-08-01 00:00:00+05:45","1250","2100","-40.48"
"Indore","2024-09-01 00:00:00+05:45","1350","1250","8.00"
"Jaipur","2023-01-01 00:00:00+05:45","27700",NULL,NULL
"Jaipur","2023-02-01 00:00:00+05:45","22470","27700","-18.88"
"Jaipur","2023-03-01 00:00:00+05:45","27920","22470","24.25"
"Jaipur","2023-04-01 00:00:00+05:45","30800","27920","10.32"
"Jaipur","2023-05-01 00:00:00+05:45","34720","30800","12.73"
"Jaipur","2023-06-01 00:00:00+05:45","20020","34720","-42.34"
"Jaipur","2023-07-01 00:00:00+05:45","26970","20020","34.72"
"Jaipur","2023-08-01 00:00:00+05:45","16800","26970","-37.71"
"Jaipur","2023-09-01 00:00:00+05:45","54300","16800","223.21"
"Jaipur","2023-10-01 00:00:00+05:45","76900","54300","41.62"
"Jaipur","2023-11-01 00:00:00+05:45","77850","76900","1.24"
"Jaipur","2023-12-01 00:00:00+05:45","93830","77850","20.53"
"Jaipur","2024-01-01 00:00:00+05:45","47120","93830","-49.78"
"Jaipur","2024-02-01 00:00:00+05:45","60400","47120","28.18"
"Jaipur","2024-03-01 00:00:00+05:45","71100","60400","17.72"
"Jaipur","2024-04-01 00:00:00+05:45","22750","71100","-68.00"
"Jaipur","2024-05-01 00:00:00+05:45","18200","22750","-20.00"
"Jaipur","2024-06-01 00:00:00+05:45","17800","18200","-2.20"
"Jaipur","2024-07-01 00:00:00+05:45","16700","17800","-6.18"
"Jaipur","2024-08-01 00:00:00+05:45","15550","16700","-6.89"
"Jaipur","2024-09-01 00:00:00+05:45","22650","15550","45.66"
"Jaipur","2024-10-01 00:00:00+05:45","900","22650","-96.03"
"Kanpur","2023-01-01 00:00:00+05:45","4450",NULL,NULL
"Kanpur","2023-02-01 00:00:00+05:45","6820","4450","53.26"
"Kanpur","2023-03-01 00:00:00+05:45","6200","6820","-9.09"
"Kanpur","2023-04-01 00:00:00+05:45","4450","6200","-28.23"
"Kanpur","2023-05-01 00:00:00+05:45","4100","4450","-7.87"
"Kanpur","2023-06-01 00:00:00+05:45","4100","4100","0.00"
"Kanpur","2023-07-01 00:00:00+05:45","2320","4100","-43.41"
"Kanpur","2023-08-01 00:00:00+05:45","4000","2320","72.41"
"Kanpur","2023-09-01 00:00:00+05:45","10100","4000","152.50"
"Kanpur","2023-10-01 00:00:00+05:45","23900","10100","136.63"
"Kanpur","2023-11-01 00:00:00+05:45","28100","23900","17.57"
"Kanpur","2023-12-01 00:00:00+05:45","19890","28100","-29.22"
"Kanpur","2024-01-01 00:00:00+05:45","14620","19890","-26.50"
"Kanpur","2024-02-01 00:00:00+05:45","20650","14620","41.24"
"Kanpur","2024-03-01 00:00:00+05:45","21300","20650","3.15"
"Kanpur","2024-04-01 00:00:00+05:45","3850","21300","-81.92"
"Kanpur","2024-05-01 00:00:00+05:45","13650","3850","254.55"
"Kanpur","2024-06-01 00:00:00+05:45","7300","13650","-46.52"
"Kanpur","2024-07-01 00:00:00+05:45","5900","7300","-19.18"
"Kanpur","2024-08-01 00:00:00+05:45","5300","5900","-10.17"
"Kanpur","2024-09-01 00:00:00+05:45","2550","5300","-51.89"
"Kolkata","2023-01-01 00:00:00+05:45","3570",NULL,NULL
"Kolkata","2023-02-01 00:00:00+05:45","2550","3570","-28.57"
"Kolkata","2023-03-01 00:00:00+05:45","6650","2550","160.78"
"Kolkata","2023-04-01 00:00:00+05:45","4500","6650","-32.33"
"Kolkata","2023-05-01 00:00:00+05:45","6270","4500","39.33"
"Kolkata","2023-06-01 00:00:00+05:45","4600","6270","-26.63"
"Kolkata","2023-07-01 00:00:00+05:45","5550","4600","20.65"
"Kolkata","2023-08-01 00:00:00+05:45","5000","5550","-9.91"
"Kolkata","2023-09-01 00:00:00+05:45","7150","5000","43.00"
"Kolkata","2023-10-01 00:00:00+05:45","17450","7150","144.06"
"Kolkata","2023-11-01 00:00:00+05:45","20200","17450","15.76"
"Kolkata","2023-12-01 00:00:00+05:45","13530","20200","-33.02"
"Kolkata","2024-01-01 00:00:00+05:45","15690","13530","15.96"
"Kolkata","2024-02-01 00:00:00+05:45","15950","15690","1.66"
"Kolkata","2024-03-01 00:00:00+05:45","12150","15950","-23.82"
"Kolkata","2024-04-01 00:00:00+05:45","2500","12150","-79.42"
"Kolkata","2024-05-01 00:00:00+05:45","3200","2500","28.00"
"Kolkata","2024-06-01 00:00:00+05:45","7750","3200","142.19"
"Kolkata","2024-07-01 00:00:00+05:45","7150","7750","-7.74"
"Kolkata","2024-08-01 00:00:00+05:45","4300","7150","-39.86"
"Kolkata","2024-09-01 00:00:00+05:45","4250","4300","-1.16"
"Kolkata","2024-10-01 00:00:00+05:45","1500","4250","-64.71"
"Lucknow","2023-01-01 00:00:00+05:45","2770",NULL,NULL
"Lucknow","2023-02-01 00:00:00+05:45","900","2770","-67.51"
"Lucknow","2023-03-01 00:00:00+05:45","2300","900","155.56"
"Lucknow","2023-04-01 00:00:00+05:45","900","2300","-60.87"
"Lucknow","2023-05-01 00:00:00+05:45","850","900","-5.56"
"Lucknow","2023-06-01 00:00:00+05:45","2400","850","182.35"
"Lucknow","2023-07-01 00:00:00+05:45","1720","2400","-28.33"
"Lucknow","2023-08-01 00:00:00+05:45","5000","1720","190.70"
"Lucknow","2023-09-01 00:00:00+05:45","7900","5000","58.00"
"Lucknow","2023-10-01 00:00:00+05:45","9750","7900","23.42"
"Lucknow","2023-11-01 00:00:00+05:45","13550","9750","38.97"
"Lucknow","2023-12-01 00:00:00+05:45","18250","13550","34.69"
"Lucknow","2024-01-01 00:00:00+05:45","8510","18250","-53.37"
"Lucknow","2024-02-01 00:00:00+05:45","8950","8510","5.17"
"Lucknow","2024-03-01 00:00:00+05:45","10450","8950","16.76"
"Lucknow","2024-04-01 00:00:00+05:45","2200","10450","-78.95"
"Lucknow","2024-05-01 00:00:00+05:45","2150","2200","-2.27"
"Lucknow","2024-06-01 00:00:00+05:45","2650","2150","23.26"
"Lucknow","2024-07-01 00:00:00+05:45","2400","2650","-9.43"
"Lucknow","2024-08-01 00:00:00+05:45","4350","2400","81.25"
"Lucknow","2024-09-01 00:00:00+05:45","1450","4350","-66.67"
"Mumbai","2023-01-01 00:00:00+05:45","5750",NULL,NULL
"Mumbai","2023-02-01 00:00:00+05:45","6250","5750","8.70"
"Mumbai","2023-03-01 00:00:00+05:45","7270","6250","16.32"
"Mumbai","2023-04-01 00:00:00+05:45","5950","7270","-18.16"
"Mumbai","2023-05-01 00:00:00+05:45","11020","5950","85.21"
"Mumbai","2023-06-01 00:00:00+05:45","9570","11020","-13.16"
"Mumbai","2023-07-01 00:00:00+05:45","4700","9570","-50.89"
"Mumbai","2023-08-01 00:00:00+05:45","4500","4700","-4.26"
"Mumbai","2023-09-01 00:00:00+05:45","15600","4500","246.67"
"Mumbai","2023-10-01 00:00:00+05:45","23350","15600","49.68"
"Mumbai","2023-11-01 00:00:00+05:45","26350","23350","12.85"
"Mumbai","2023-12-01 00:00:00+05:45","21640","26350","-17.87"
"Mumbai","2024-01-01 00:00:00+05:45","14650","21640","-32.30"
"Mumbai","2024-02-01 00:00:00+05:45","20800","14650","41.98"
"Mumbai","2024-03-01 00:00:00+05:45","21450","20800","3.13"
"Mumbai","2024-04-01 00:00:00+05:45","3050","21450","-85.78"
"Mumbai","2024-05-01 00:00:00+05:45","5900","3050","93.44"
"Mumbai","2024-06-01 00:00:00+05:45","7600","5900","28.81"
"Mumbai","2024-07-01 00:00:00+05:45","3600","7600","-52.63"
"Mumbai","2024-08-01 00:00:00+05:45","9300","3600","158.33"
"Mumbai","2024-09-01 00:00:00+05:45","6700","9300","-27.96"
"Nagpur","2023-01-01 00:00:00+05:45","2000",NULL,NULL
"Nagpur","2023-02-01 00:00:00+05:45","3400","2000","70.00"
"Nagpur","2023-03-01 00:00:00+05:45","6970","3400","105.00"
"Nagpur","2023-04-01 00:00:00+05:45","3550","6970","-49.07"
"Nagpur","2023-05-01 00:00:00+05:45","2800","3550","-21.13"
"Nagpur","2023-06-01 00:00:00+05:45","2820","2800","0.71"
"Nagpur","2023-07-01 00:00:00+05:45","5250","2820","86.17"
"Nagpur","2023-08-01 00:00:00+05:45","3000","5250","-42.86"
"Nagpur","2023-09-01 00:00:00+05:45","9250","3000","208.33"
"Nagpur","2023-10-01 00:00:00+05:45","14350","9250","55.14"
"Nagpur","2023-11-01 00:00:00+05:45","16650","14350","16.03"
"Nagpur","2023-12-01 00:00:00+05:45","14810","16650","-11.05"
"Nagpur","2024-01-01 00:00:00+05:45","8800","14810","-40.58"
"Nagpur","2024-02-01 00:00:00+05:45","12800","8800","45.45"
"Nagpur","2024-03-01 00:00:00+05:45","12650","12800","-1.17"
"Nagpur","2024-04-01 00:00:00+05:45","4700","12650","-62.85"
"Nagpur","2024-05-01 00:00:00+05:45","4400","4700","-6.38"
"Nagpur","2024-06-01 00:00:00+05:45","3850","4400","-12.50"
"Nagpur","2024-07-01 00:00:00+05:45","1750","3850","-54.55"
"Nagpur","2024-08-01 00:00:00+05:45","3700","1750","111.43"
"Nagpur","2024-09-01 00:00:00+05:45","2550","3700","-31.08"
"Pune","2023-01-01 00:00:00+05:45","37300",NULL,NULL
"Pune","2023-02-01 00:00:00+05:45","46110","37300","23.62"
"Pune","2023-03-01 00:00:00+05:45","54320","46110","17.81"
"Pune","2023-04-01 00:00:00+05:45","38620","54320","-28.90"
"Pune","2023-05-01 00:00:00+05:45","39430","38620","2.10"
"Pune","2023-06-01 00:00:00+05:45","32170","39430","-18.41"
"Pune","2023-07-01 00:00:00+05:45","54460","32170","69.29"
"Pune","2023-08-01 00:00:00+05:45","27800","54460","-48.95"
"Pune","2023-09-01 00:00:00+05:45","88400","27800","217.99"
"Pune","2023-10-01 00:00:00+05:45","155950","88400","76.41"
"Pune","2023-11-01 00:00:00+05:45","169350","155950","8.59"
"Pune","2023-12-01 00:00:00+05:45","109030","169350","-35.62"
"Pune","2024-01-01 00:00:00+05:45","78150","109030","-28.32"
"Pune","2024-02-01 00:00:00+05:45","80950","78150","3.58"
"Pune","2024-03-01 00:00:00+05:45","97150","80950","20.01"
"Pune","2024-04-01 00:00:00+05:45","22400","97150","-76.94"
"Pune","2024-05-01 00:00:00+05:45","36850","22400","64.51"
"Pune","2024-06-01 00:00:00+05:45","14650","36850","-60.24"
"Pune","2024-07-01 00:00:00+05:45","19850","14650","35.49"
"Pune","2024-08-01 00:00:00+05:45","27650","19850","39.29"
"Pune","2024-09-01 00:00:00+05:45","26850","27650","-2.89"
"Pune","2024-10-01 00:00:00+05:45","850","26850","-96.83"
"Surat","2023-01-01 00:00:00+05:45","4750",NULL,NULL
"Surat","2023-02-01 00:00:00+05:45","1600","4750","-66.32"
"Surat","2023-03-01 00:00:00+05:45","6770","1600","323.13"
"Surat","2023-04-01 00:00:00+05:45","3400","6770","-49.78"
"Surat","2023-05-01 00:00:00+05:45","4320","3400","27.06"
"Surat","2023-06-01 00:00:00+05:45","5470","4320","26.62"
"Surat","2023-07-01 00:00:00+05:45","6220","5470","13.71"
"Surat","2023-08-01 00:00:00+05:45","6000","6220","-3.54"
"Surat","2023-09-01 00:00:00+05:45","9100","6000","51.67"
"Surat","2023-10-01 00:00:00+05:45","17250","9100","89.56"
"Surat","2023-11-01 00:00:00+05:45","18250","17250","5.80"
"Surat","2023-12-01 00:00:00+05:45","17060","18250","-6.52"
"Surat","2024-01-01 00:00:00+05:45","16400","17060","-3.87"
"Surat","2024-02-01 00:00:00+05:45","11150","16400","-32.01"
"Surat","2024-03-01 00:00:00+05:45","16300","11150","46.19"
"Surat","2024-04-01 00:00:00+05:45","7000","16300","-57.06"
"Surat","2024-05-01 00:00:00+05:45","7250","7000","3.57"
"Surat","2024-06-01 00:00:00+05:45","4450","7250","-38.62"
"Surat","2024-07-01 00:00:00+05:45","4450","4450","0.00"
"Surat","2024-08-01 00:00:00+05:45","6400","4450","43.82"
"Surat","2024-09-01 00:00:00+05:45","2950","6400","-53.91"
