,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,last_review_year,last_review_month,last_review_date
103,Manhattan,West Village,40.73096,-74.00319,Entire home/apt,500,4,46,0.55,2,243,2019.0,5.0,18.0
104,Brooklyn,Williamsburg,40.71332,-73.94177,Private room,101,3,335,3.02,1,152,2019.0,5.0,29.0
105,Brooklyn,Park Slope,40.66941,-73.98109,Entire home/apt,220,30,88,0.79,1,9,2018.0,11.0,2.0
106,Brooklyn,Bedford-Stuyvesant,40.68373,-73.92377,Entire home/apt,125,90,162,1.46,2,137,2019.0,6.0,28.0
107,Brooklyn,Williamsburg,40.71459,-73.94844,Entire home/apt,80,30,29,0.4,1,222,2018.0,5.0,26.0
108,Manhattan,Harlem,40.8092,-73.94421,Private room,100,2,170,1.61,1,346,2019.0,6.0,23.0
109,Brooklyn,Gowanus,40.68157,-73.98989,Entire home/apt,200,30,19,0.2,1,208,2017.0,3.0,17.0
110,Manhattan,Hell's Kitchen,40.75527,-73.99291,Private room,59,2,334,3.0,2,279,2019.0,6.0,16.0
111,Brooklyn,Clinton Hill,40.68698,-73.96572,Private room,125,2,19,0.2,6,250,2019.0,6.0,2.0
112,Manhattan,East Village,40.7288,-73.98192,Entire home/apt,140,7,12,0.13,1,164,2017.0,12.0,11.0
113,Brooklyn,South Slope,40.66853,-73.98912,Entire home/apt,120,30,467,4.22,2,192,2018.0,12.0,30.0
114,Manhattan,East Village,40.7254,-73.98157,Entire home/apt,350,2,7,0.06,4,298,2017.0,8.0,9.0
115,Manhattan,Kips Bay,40.74294,-73.98009,Entire home/apt,199,5,38,0.38,1,260,2015.0,12.0,2.0
116,Brooklyn,Williamsburg,40.71942,-73.95748,Entire home/apt,325,3,324,3.01,1,107,2019.0,6.0,23.0
117,Manhattan,Upper West Side,40.77823,-73.97637,Entire home/apt,235,6,27,0.27,1,199,2019.0,4.0,27.0
118,Manhattan,East Village,40.72555,-73.97965,Entire home/apt,225,1,115,1.05,4,299,2019.0,6.0,7.0
119,Brooklyn,South Slope,40.66831,-73.98604,Private room,99,2,354,3.2,3,20,2019.0,5.0,20.0
120,Manhattan,Harlem,40.82754,-73.94919,Entire home/apt,170,2,195,2.03,1,318,2019.0,7.0,1.0
121,Brooklyn,South Slope,40.66499,-73.97925,Entire home/apt,400,2,16,0.24,2,216,2018.0,12.0,30.0
122,Manhattan,Upper West Side,40.77842,-73.97556,Entire home/apt,170,7,13,0.12,1,224,2019.0,6.0,26.0
123,Manhattan,East Village,40.72245,-73.98527,Entire home/apt,100,4,25,0.23,1,0,2011.0,12.0,10.0
124,Brooklyn,Prospect-Lefferts Gardens,40.65593,-73.96053,Private room,75,2,9,0.08,1,324,2018.0,10.0,5.0
125,Brooklyn,Williamsburg,40.71923,-73.96468,Private room,90,1,9,0.08,1,245,2011.0,9.0,18.0
126,Manhattan,Upper East Side,40.778,-73.94822,Entire home/apt,150,5,21,0.19,1,189,2017.0,8.0,15.0
127,Manhattan,Washington Heights,40.85879,-73.93128,Private room,85,15,36,0.33,1,307,2017.0,8.0,17.0
128,Brooklyn,Bedford-Stuyvesant,40.68332,-73.9547,Private room,70,3,63,0.58,2,310,2019.0,5.0,14.0
129,Manhattan,Harlem,40.81618,-73.94894,Entire home/apt,120,3,155,1.42,3,213,2019.0,6.0,20.0
130,Brooklyn,Clinton Hill,40.68414,-73.96351,Private room,89,3,260,2.35,1,278,2019.0,7.0,3.0
131,Manhattan,East Village,40.72392,-73.99143,Entire home/apt,185,5,73,0.66,1,209,2019.0,6.0,25.0
132,Brooklyn,Greenpoint,40.73494,-73.9503,Private room,50,3,193,1.86,1,0,2019.0,5.0,20.0
133,Manhattan,Lower East Side,40.71341,-73.98856,Entire home/apt,105,3,32,0.29,1,16,2019.0,6.0,14.0
134,Manhattan,Hell's Kitchen,40.76754,-73.98399,Private room,130,2,50,0.45,3,234,2019.0,5.0,26.0
135,Manhattan,West Village,40.73442,-74.00303,Entire home/apt,115,29,26,0.25,1,12,2019.0,7.0,1.0
136,Brooklyn,Flatlands,40.63188,-73.93248,Private room,77,2,2,0.02,1,178,2019.0,1.0,1.0
137,Brooklyn,Clinton Hill,40.6873,-73.9634,Private room,76,2,426,3.89,3,275,2019.0,6.0,24.0
138,Brooklyn,Bedford-Stuyvesant,40.68296,-73.93662,Entire home/apt,125,3,227,2.09,2,163,2019.0,6.0,23.0
139,Brooklyn,Clinton Hill,40.6863,-73.96765,Private room,135,4,84,0.77,3,365,2019.0,7.0,1.0
140,Brooklyn,Greenpoint,40.73409,-73.95348,Entire home/apt,250,29,3,0.03,1,34,2017.0,7.0,30.0
141,Brooklyn,Williamsburg,40.71561,-73.94835,Entire home/apt,199,3,10,0.1,1,280,2018.0,6.0,11.0
142,Brooklyn,Cobble Hill,40.6857,-73.99183,Entire home/apt,140,2,4,0.04,1,0,2016.0,4.0,24.0
143,Queens,Flushing,40.74028,-73.83168,Private room,140,2,1,0.01,1,1,2011.0,9.0,19.0
144,Brooklyn,Bedford-Stuyvesant,40.68281,-73.93524,Entire home/apt,115,3,124,1.72,2,170,2019.0,6.0,20.0
145,Brooklyn,Williamsburg,40.71596,-73.93938,Entire home/apt,160,3,11,0.11,1,188,2019.0,7.0,2.0
146,Brooklyn,Williamsburg,40.71492,-73.95935,Entire home/apt,195,4,240,2.19,1,214,2019.0,6.0,17.0
147,Manhattan,East Village,40.72354,-73.98295,Entire home/apt,195,3,30,0.28,1,248,2019.0,6.0,17.0
148,Brooklyn,Williamsburg,40.71165,-73.96087,Private room,80,3,200,1.86,4,262,2019.0,6.0,22.0
149,Brooklyn,Fort Greene,40.69101,-73.97312,Private room,44,8,27,1.05,5,280,2019.0,6.0,29.0
150,Manhattan,West Village,40.73474,-74.00101,Private room,156,4,79,0.74,1,307,2019.0,6.0,22.0
151,Brooklyn,Prospect Heights,40.67386,-73.96641,Private room,85,15,9,0.09,1,339,2013.0,5.0,10.0
152,Brooklyn,Williamsburg,40.71536,-73.96057,Private room,125,3,155,1.61,1,1,2019.0,6.0,13.0
153,Brooklyn,Prospect Heights,40.6741,-73.96595,Entire home/apt,115,15,4,0.05,1,269,2018.0,8.0,27.0
154,Manhattan,East Harlem,40.79295,-73.93997,Private room,69,2,34,0.32,1,10,2017.0,5.0,29.0
155,Manhattan,West Village,40.73226,-74.00401,Entire home/apt,225,45,134,1.24,1,312,2019.0,3.0,31.0
156,Brooklyn,Williamsburg,40.71363,-73.96398,Entire home/apt,125,6,27,0.25,1,189,2018.0,12.0,27.0
157,Manhattan,Upper East Side,40.77711,-73.9527,Entire home/apt,219,4,126,1.16,2,290,2019.0,6.0,26.0
158,Brooklyn,Boerum Hill,40.68559,-73.98094,Entire home/apt,475,3,23,0.27,1,230,2018.0,12.0,31.0
159,Manhattan,Upper East Side,40.77456,-73.95323,Entire home/apt,99,1,234,2.6,2,164,2019.0,6.0,8.0
160,Brooklyn,Williamsburg,40.71088,-73.95055,Private room,69,4,202,1.86,2,53,2019.0,5.0,28.0
161,Queens,Sunnyside,40.74559,-73.92313,Private room,79,30,28,0.26,1,126,2019.0,4.0,12.0
162,Brooklyn,Bedford-Stuyvesant,40.68306,-73.94659,Entire home/apt,135,2,309,2.86,2,3,2019.0,6.0,22.0
163,Brooklyn,DUMBO,40.70207,-73.98571,Private room,250,3,14,0.13,1,189,2011.0,4.0,25.0
164,Manhattan,Upper East Side,40.76123,-73.9642,Entire home/apt,250,3,4,0.08,1,365,2016.0,9.0,23.0
165,Brooklyn,Gowanus,40.66858,-73.99083,Entire home/apt,250,2,80,2.17,1,0,2019.0,7.0,6.0
166,Manhattan,Harlem,40.82704,-73.94907,Entire home/apt,80,3,2,0.04,1,0,2015.0,11.0,2.0
167,Brooklyn,Clinton Hill,40.68843,-73.96408,Private room,70,2,294,3.47,3,336,2019.0,6.0,24.0
168,Brooklyn,Carroll Gardens,40.6783,-74.00135,Entire home/apt,165,2,150,1.4,3,342,2019.0,6.0,18.0
169,Staten Island,St. George,40.64524,-74.08088,Private room,70,2,166,1.66,1,312,2019.0,6.0,13.0
170,Brooklyn,Bushwick,40.70641,-73.91765,Private room,50,2,47,0.94,1,37,2019.0,6.0,19.0
171,Bronx,Highbridge,40.83232,-73.93184,Private room,40,1,219,2.04,3,353,2019.0,7.0,4.0
172,Brooklyn,Williamsburg,40.71045,-73.9677,Entire home/apt,150,2,193,1.78,1,177,2016.0,7.0,6.0
173,Manhattan,East Village,40.72518,-73.98034,Private room,125,1,84,0.78,4,310,2019.0,6.0,23.0
174,Manhattan,Financial District,40.70666,-74.01374,Entire home/apt,196,3,114,1.06,1,0,2019.0,6.0,20.0
175,Brooklyn,Fort Greene,40.69098,-73.97113,Private room,110,2,213,2.0,2,321,2019.0,6.0,24.0
176,Manhattan,West Village,40.73756,-74.00405,Entire home/apt,170,3,86,0.8,1,246,2019.0,6.0,1.0
177,Manhattan,Harlem,40.81526,-73.94791,Entire home/apt,165,3,80,0.75,3,231,2019.0,5.0,26.0
178,Manhattan,West Village,40.73423,-74.0046,Entire home/apt,150,26,38,0.36,1,225,2016.0,4.0,20.0
179,Manhattan,Harlem,40.82374,-73.9373,Entire home/apt,100,2,18,1.79,1,0,2018.0,12.0,17.0
180,Brooklyn,Fort Greene,40.68863,-73.97691,Private room,65,2,206,1.92,2,0,2019.0,6.0,30.0
181,Queens,Ridgewood,40.70382,-73.89797,Entire home/apt,350,8,10,0.11,5,365,2019.0,5.0,12.0
182,Manhattan,Morningside Heights,40.80549,-73.95924,Private room,99,4,122,1.18,2,233,2019.0,5.0,14.0
183,Brooklyn,Williamsburg,40.71627,-73.9587,Entire home/apt,200,4,33,0.58,1,1,2019.0,4.0,8.0
184,Brooklyn,Park Slope,40.67994,-73.97863,Entire home/apt,150,5,52,0.5,1,18,2019.0,6.0,5.0
185,Brooklyn,Bedford-Stuyvesant,40.67992,-73.9475,Private room,90,3,126,1.17,4,343,2019.0,5.0,19.0
186,Brooklyn,Prospect Heights,40.67868,-73.97307,Private room,120,3,51,0.48,3,250,2019.0,6.0,24.0
187,Manhattan,Upper East Side,40.76834,-73.95334,Private room,75,3,199,1.85,1,326,2019.0,6.0,24.0
188,Brooklyn,Bedford-Stuyvesant,40.68237,-73.9415,Entire home/apt,175,26,30,0.29,1,364,2012.0,9.0,3.0
189,Manhattan,Chelsea,40.74031,-73.99999,Entire home/apt,125,3,3,0.03,1,0,2015.0,7.0,17.0
190,Manhattan,Hell's Kitchen,40.76307,-73.99665,Entire home/apt,275,1,41,0.38,1,299,2019.0,6.0,26.0
191,Manhattan,Lower East Side,40.71882,-73.98852,Entire home/apt,299,2,109,1.04,1,207,2019.0,6.0,15.0
192,Brooklyn,South Slope,40.6693,-73.98804,Entire home/apt,135,5,151,1.43,3,162,2019.0,6.0,22.0
193,Manhattan,Upper East Side,40.77333,-73.95199,Private room,130,14,0,0.0,2,0,0.0,0.0,0.0
194,Manhattan,Lower East Side,40.72319,-73.99201,Private room,83,1,285,2.69,1,7,2019.0,6.0,22.0
195,Manhattan,Chelsea,40.74859,-73.99671,Private room,123,1,375,3.52,1,328,2019.0,6.0,18.0
196,Queens,Jamaica,40.67252,-73.76597,Private room,55,2,52,0.49,2,365,2019.0,5.0,20.0
197,Manhattan,Hell's Kitchen,40.76244,-73.99271,Entire home/apt,195,5,10,1.01,1,0,2019.0,7.0,1.0
198,Brooklyn,Bedford-Stuyvesant,40.69546,-73.93503,Private room,80,2,11,0.48,1,0,2017.0,11.0,13.0
199,Queens,Middle Village,40.71722,-73.87856,Entire home/apt,98,30,33,0.31,5,240,2015.0,5.0,9.0
200,Queens,Ridgewood,40.70234,-73.89816,Private room,140,7,6,0.06,5,365,2015.0,10.0,8.0
201,Queens,Middle Village,40.71546,-73.87854,Entire home/apt,265,7,38,0.38,5,365,2019.0,4.0,27.0
202,Brooklyn,Williamsburg,40.7195,-73.95976,Entire home/apt,249,2,358,3.44,2,164,2019.0,6.0,20.0
203,Manhattan,Hell's Kitchen,40.76548,-73.98474,Shared room,105,6,10,0.09,1,363,2014.0,1.0,7.0
204,Manhattan,Harlem,40.80234,-73.95603,Private room,200,30,0,0.0,1,365,0.0,0.0,0.0
205,Brooklyn,Prospect Heights,40.6787,-73.97262,Private room,100,2,226,2.12,3,250,2019.0,6.0,6.0
206,Manhattan,Harlem,40.81035,-73.94598,Entire home/apt,121,1,104,1.0,5,247,2019.0,6.0,22.0
207,Bronx,Highbridge,40.83075,-73.93058,Private room,45,1,138,1.45,3,323,2019.0,6.0,30.0
208,Manhattan,East Harlem,40.79958,-73.94275,Private room,100,5,204,1.92,1,192,2019.0,6.0,23.0
209,Brooklyn,Williamsburg,40.71625,-73.93845,Entire home/apt,140,2,253,3.04,1,125,2019.0,7.0,2.0
210,Brooklyn,Bedford-Stuyvesant,40.6829,-73.93549,Private room,71,2,23,0.22,1,91,2019.0,7.0,1.0
211,Manhattan,NoHo,40.72773,-73.99134,Private room,130,2,115,1.17,1,75,2018.0,12.0,5.0
212,Manhattan,West Village,40.72861,-74.0049,Entire home/apt,199,5,129,1.22,1,286,2019.0,5.0,19.0
213,Brooklyn,Williamsburg,40.70979,-73.95162,Private room,69,4,82,1.13,2,60,2019.0,6.0,10.0
214,Brooklyn,Fort Greene,40.68656,-73.97525,Private room,68,3,37,0.35,1,0,2018.0,12.0,31.0
215,Manhattan,East Village,40.72752,-73.98432,Entire home/apt,130,1,204,2.04,1,192,2019.0,7.0,1.0
216,Brooklyn,Greenpoint,40.729,-73.95829,Entire home/apt,195,2,69,0.65,1,58,2019.0,6.0,13.0
217,Manhattan,Harlem,40.81219,-73.94499,Private room,64,1,192,1.84,5,245,2019.0,6.0,3.0
218,Queens,Ditmars Steinway,40.77185,-73.90502,Entire home/apt,140,2,17,0.16,1,292,2019.0,6.0,17.0
219,Brooklyn,Cobble Hill,40.68926,-73.99386,Entire home/apt,159,2,222,2.12,1,279,2019.0,6.0,24.0
220,Manhattan,East Village,40.72821,-73.98701,Entire home/apt,189,3,205,1.96,1,0,2019.0,6.0,23.0
221,Manhattan,Hell's Kitchen,40.7672,-73.98508,Entire home/apt,250,3,94,0.96,1,3,2019.0,6.0,9.0
222,Manhattan,East Village,40.73012,-73.99053,Entire home/apt,239,3,7,0.07,1,351,2019.0,5.0,24.0
223,Manhattan,Flatiron District,40.7403,-73.98498,Entire home/apt,305,2,108,1.09,1,201,2019.0,6.0,30.0
224,Manhattan,Harlem,40.80931,-73.94343,Entire home/apt,155,3,222,2.1,2,232,2019.0,6.0,26.0
225,Manhattan,Harlem,40.8251,-73.94287,Private room,60,1,458,4.58,2,258,2019.0,7.0,3.0
226,Brooklyn,Windsor Terrace,40.6585,-73.98397,Private room,135,2,21,0.26,1,272,2019.0,5.0,17.0
227,Manhattan,Roosevelt Island,40.76193,-73.9501,Private room,120,7,17,0.3,1,341,2019.0,5.0,8.0
228,Manhattan,Lower East Side,40.72052,-73.98589,Entire home/apt,150,3,41,0.39,1,244,2019.0,1.0,2.0
229,Queens,Ridgewood,40.70411,-73.89934,Entire home/apt,140,14,1,0.01,5,365,2012.0,9.0,17.0
230,Brooklyn,Greenpoint,40.73401,-73.95967,Entire home/apt,135,2,69,0.67,1,12,2019.0,5.0,19.0
231,Manhattan,Chinatown,40.71756,-73.99503,Entire home/apt,250,4,18,0.18,2,265,2019.0,7.0,1.0
